maxlag,vardf,lagdf,timedf,meteorology,partial_week,cum_RR,cum_RR_low,cum_RR_high,dispersion,converged,warn,rel_diff_pct,ci_excludes_1,classification
2,2,2,6,ns,include_W52,1.606,1.145,2.253,59.47,TRUE,,-9.7,TRUE,robust
4,2,2,6,ns,include_W52,2.113,1.422,3.14,55.94,TRUE,,18.9,TRUE,robust
6,2,2,6,ns,include_W52,2.529,1.659,3.857,52.47,TRUE,,42.3,TRUE,partially_robust
2,3,2,6,ns,include_W52,1.522,1.057,2.191,59.67,TRUE,,-14.4,TRUE,robust
4,3,2,6,ns,include_W52,2.038,1.314,3.161,56.39,TRUE,,14.6,TRUE,robust
6,3,2,6,ns,include_W52,2.501,1.553,4.029,53.07,TRUE,,40.7,TRUE,partially_robust
2,2,3,6,ns,include_W52,1.595,1.133,2.247,60.27,TRUE,,-10.3,TRUE,robust
4,2,3,6,ns,include_W52,2.108,1.412,3.145,56.63,TRUE,,18.5,TRUE,robust
6,2,3,6,ns,include_W52,2.502,1.636,3.826,52.99,TRUE,,40.7,TRUE,partially_robust
2,3,3,6,ns,include_W52,1.518,1.049,2.196,60.96,TRUE,,-14.6,TRUE,robust
4,3,3,6,ns,include_W52,2.045,1.305,3.204,57.45,TRUE,,15,TRUE,robust
6,3,3,6,ns,include_W52,2.451,1.511,3.978,53.98,TRUE,,37.9,TRUE,partially_robust
2,2,2,8,ns,include_W52,1.481,1.022,2.146,57.71,TRUE,,-16.7,TRUE,robust
4,2,2,8,ns,include_W52,1.883,1.187,2.987,54.81,TRUE,,5.9,TRUE,robust
6,2,2,8,ns,include_W52,2.123,1.215,3.71,50.86,TRUE,,19.4,TRUE,robust
2,3,2,8,ns,include_W52,1.375,0.915,2.066,57.81,TRUE,,-22.7,FALSE,partially_robust
4,3,2,8,ns,include_W52,1.805,1.083,3.01,55.3,TRUE,,1.5,TRUE,robust
6,3,2,8,ns,include_W52,2.184,1.193,3.996,51.57,TRUE,,22.8,TRUE,robust
2,2,3,8,ns,include_W52,1.472,1.011,2.142,58.51,TRUE,,-17.2,TRUE,robust
4,2,3,8,ns,include_W52,1.849,1.157,2.955,55.37,TRUE,,4,TRUE,robust
6,2,3,8,ns,include_W52,2.004,1.132,3.547,51.14,TRUE,,12.7,TRUE,robust
2,3,3,8,ns,include_W52,1.368,0.905,2.067,59.05,TRUE,,-23.1,FALSE,partially_robust
4,3,3,8,ns,include_W52,1.778,1.052,3.006,56.21,TRUE,,0,TRUE,robust
6,3,3,8,ns,include_W52,2.045,1.098,3.808,52.27,TRUE,,15,TRUE,robust
2,2,2,10,ns,include_W52,1.207,0.857,1.701,45.35,TRUE,,-32.1,FALSE,partially_robust
4,2,2,10,ns,include_W52,1.461,0.955,2.237,45.07,TRUE,,-17.8,FALSE,partially_robust
6,2,2,10,ns,include_W52,1.536,0.891,2.645,45.4,TRUE,,-13.6,FALSE,partially_robust
2,3,2,10,ns,include_W52,1.256,0.871,1.811,45.85,TRUE,,-29.4,FALSE,partially_robust
4,3,2,10,ns,include_W52,1.637,1.035,2.587,45.16,TRUE,,-7.9,TRUE,robust
6,3,2,10,ns,include_W52,1.794,1.016,3.169,44.98,TRUE,,0.9,TRUE,robust
2,2,3,10,ns,include_W52,1.197,0.846,1.694,45.95,TRUE,,-32.7,FALSE,partially_robust
4,2,3,10,ns,include_W52,1.413,0.917,2.177,45.18,TRUE,,-20.5,FALSE,partially_robust
6,2,3,10,ns,include_W52,1.368,0.782,2.392,44.98,TRUE,,-23.1,FALSE,partially_robust
2,3,3,10,ns,include_W52,1.244,0.858,1.803,46.75,TRUE,,-30,FALSE,partially_robust
4,3,3,10,ns,include_W52,1.606,1.005,2.566,45.46,TRUE,,-9.7,TRUE,robust
6,3,3,10,ns,include_W52,1.603,0.891,2.882,44.98,TRUE,,-9.9,FALSE,partially_robust
2,2,2,6,linear,include_W52,1.445,1.091,1.914,60.82,TRUE,,-18.7,TRUE,robust
4,2,2,6,linear,include_W52,1.68,1.223,2.308,58.19,TRUE,,-5.5,TRUE,robust
6,2,2,6,linear,include_W52,1.908,1.366,2.665,55.2,TRUE,,7.3,TRUE,robust
2,3,2,6,linear,include_W52,1.388,1.025,1.879,61.14,TRUE,,-22,TRUE,robust
4,3,2,6,linear,include_W52,1.655,1.169,2.341,58.68,TRUE,,-6.9,TRUE,robust
6,3,2,6,linear,include_W52,1.905,1.308,2.773,55.89,TRUE,,7.1,TRUE,robust
2,2,3,6,linear,include_W52,1.429,1.075,1.901,61.56,TRUE,,-19.6,TRUE,robust
4,2,3,6,linear,include_W52,1.677,1.217,2.31,58.85,TRUE,,-5.7,TRUE,robust
6,2,3,6,linear,include_W52,1.887,1.346,2.645,55.85,TRUE,,6.1,TRUE,robust
2,3,3,6,linear,include_W52,1.377,1.012,1.874,62.38,TRUE,,-22.6,TRUE,robust
4,3,3,6,linear,include_W52,1.649,1.158,2.349,59.8,TRUE,,-7.3,TRUE,robust
6,3,3,6,linear,include_W52,1.86,1.266,2.733,56.94,TRUE,,4.6,TRUE,robust
2,2,2,8,linear,include_W52,1.329,0.961,1.837,59.38,TRUE,,-25.3,FALSE,partially_robust
4,2,2,8,linear,include_W52,1.541,1.036,2.292,57.32,TRUE,,-13.3,TRUE,robust
6,2,2,8,linear,include_W52,1.641,1.021,2.636,53.52,TRUE,,-7.7,TRUE,robust
2,3,2,8,linear,include_W52,1.284,0.909,1.813,59.82,TRUE,,-27.8,FALSE,partially_robust
4,3,2,8,linear,include_W52,1.522,0.997,2.324,57.88,TRUE,,-14.4,FALSE,partially_robust
6,3,2,8,linear,include_W52,1.668,1.01,2.755,54.31,TRUE,,-6.2,TRUE,robust
2,2,3,8,linear,include_W52,1.317,0.949,1.827,60.12,TRUE,,-25.9,FALSE,partially_robust
4,2,3,8,linear,include_W52,1.52,1.015,2.275,57.9,TRUE,,-14.5,TRUE,robust
6,2,3,8,linear,include_W52,1.579,0.969,2.571,54.04,TRUE,,-11.2,FALSE,partially_robust
2,3,3,8,linear,include_W52,1.275,0.898,1.81,61.04,TRUE,,-28.3,FALSE,partially_robust
4,3,3,8,linear,include_W52,1.5,0.972,2.315,58.92,TRUE,,-15.6,FALSE,partially_robust
6,3,3,8,linear,include_W52,1.594,0.948,2.68,55.25,TRUE,,-10.3,FALSE,partially_robust
2,2,2,10,linear,include_W52,1.219,0.898,1.654,48.46,TRUE,,-31.4,FALSE,partially_robust
4,2,2,10,linear,include_W52,1.377,0.95,1.996,48.31,TRUE,,-22.6,FALSE,partially_robust
6,2,2,10,linear,include_W52,1.348,0.855,2.125,47.77,TRUE,,-24.2,FALSE,partially_robust
2,3,2,10,linear,include_W52,1.286,0.936,1.767,48.54,TRUE,,-27.7,FALSE,partially_robust
4,3,2,10,linear,include_W52,1.534,1.047,2.247,47.12,TRUE,,-13.7,TRUE,robust
6,3,2,10,linear,include_W52,1.56,0.981,2.48,46.23,TRUE,,-12.3,FALSE,partially_robust
2,2,3,10,linear,include_W52,1.208,0.887,1.645,49.08,TRUE,,-32.1,FALSE,partially_robust
4,2,3,10,linear,include_W52,1.346,0.924,1.962,48.55,TRUE,,-24.3,FALSE,partially_robust
6,2,3,10,linear,include_W52,1.248,0.779,2.001,47.85,TRUE,,-29.8,FALSE,partially_robust
2,3,3,10,linear,include_W52,1.275,0.923,1.76,49.51,TRUE,,-28.3,FALSE,partially_robust
4,3,3,10,linear,include_W52,1.512,1.023,2.234,47.64,TRUE,,-15,TRUE,robust
6,3,3,10,linear,include_W52,1.446,0.893,2.341,46.64,TRUE,,-18.7,FALSE,partially_robust
2,2,2,6,ns,exclude_W52,1.639,1.173,2.288,57.58,TRUE,,-7.8,TRUE,robust
4,2,2,6,ns,exclude_W52,2.114,1.429,3.127,54.43,TRUE,,18.9,TRUE,robust
6,2,2,6,ns,exclude_W52,2.542,1.674,3.861,50.74,TRUE,,43,TRUE,partially_robust
2,3,2,6,ns,exclude_W52,1.53,1.069,2.19,57.42,TRUE,,-13.9,TRUE,robust
4,3,2,6,ns,exclude_W52,2.005,1.298,3.097,54.71,TRUE,,12.8,TRUE,robust
6,3,2,6,ns,exclude_W52,2.449,1.527,3.93,51.18,TRUE,,37.8,TRUE,partially_robust
2,2,3,6,ns,exclude_W52,1.622,1.158,2.273,58.14,TRUE,,-8.8,TRUE,robust
4,2,3,6,ns,exclude_W52,2.109,1.42,3.132,55.05,TRUE,,18.6,TRUE,robust
6,2,3,6,ns,exclude_W52,2.521,1.655,3.84,51.24,TRUE,,41.8,TRUE,partially_robust
2,3,3,6,ns,exclude_W52,1.519,1.057,2.184,58.47,TRUE,,-14.5,TRUE,robust
4,3,3,6,ns,exclude_W52,2.018,1.295,3.146,55.6,TRUE,,13.5,TRUE,robust
6,3,3,6,ns,exclude_W52,2.39,1.479,3.861,51.96,TRUE,,34.4,TRUE,partially_robust
2,2,2,8,ns,exclude_W52,1.54,1.062,2.233,56.28,TRUE,,-13.4,TRUE,robust
4,2,2,8,ns,exclude_W52,1.902,1.2,3.016,53.5,TRUE,,7,TRUE,robust
6,2,2,8,ns,exclude_W52,2.2,1.258,3.848,49.49,TRUE,,23.8,TRUE,robust
2,3,2,8,ns,exclude_W52,1.41,0.941,2.113,56.03,TRUE,,-20.7,FALSE,partially_robust
4,3,2,8,ns,exclude_W52,1.788,1.076,2.97,53.81,TRUE,,0.6,TRUE,robust
6,3,2,8,ns,exclude_W52,2.213,1.215,4.031,50.05,TRUE,,24.5,TRUE,robust
2,2,3,8,ns,exclude_W52,1.527,1.049,2.222,56.87,TRUE,,-14.1,TRUE,robust
4,2,3,8,ns,exclude_W52,1.863,1.167,2.975,53.98,TRUE,,4.8,TRUE,robust
6,2,3,8,ns,exclude_W52,2.098,1.183,3.721,49.77,TRUE,,18,TRUE,robust
2,3,3,8,ns,exclude_W52,1.404,0.932,2.116,57.13,TRUE,,-21,FALSE,partially_robust
4,3,3,8,ns,exclude_W52,1.761,1.047,2.964,54.53,TRUE,,-0.9,TRUE,robust
6,3,3,8,ns,exclude_W52,2.085,1.125,3.866,50.67,TRUE,,17.3,TRUE,robust
2,2,2,10,ns,exclude_W52,1.25,0.895,1.746,42.9,TRUE,,-29.7,FALSE,partially_robust
4,2,2,10,ns,exclude_W52,1.462,0.965,2.213,42.66,TRUE,,-17.8,FALSE,partially_robust
6,2,2,10,ns,exclude_W52,1.577,0.921,2.702,43.19,TRUE,,-11.3,FALSE,partially_robust
2,3,2,10,ns,exclude_W52,1.294,0.906,1.849,43.34,TRUE,,-27.2,FALSE,partially_robust
4,3,2,10,ns,exclude_W52,1.636,1.045,2.562,42.77,TRUE,,-8,TRUE,robust
6,3,2,10,ns,exclude_W52,1.832,1.041,3.224,42.97,TRUE,,3,TRUE,robust
2,2,3,10,ns,exclude_W52,1.238,0.883,1.736,43.39,TRUE,,-30.4,FALSE,partially_robust
4,2,3,10,ns,exclude_W52,1.407,0.923,2.144,42.65,TRUE,,-20.9,FALSE,partially_robust
6,2,3,10,ns,exclude_W52,1.416,0.813,2.467,42.76,TRUE,,-20.4,FALSE,partially_robust
2,3,3,10,ns,exclude_W52,1.285,0.895,1.845,44.15,TRUE,,-27.7,FALSE,partially_robust
4,3,3,10,ns,exclude_W52,1.601,1.014,2.528,42.74,TRUE,,-9.9,TRUE,robust
6,3,3,10,ns,exclude_W52,1.642,0.915,2.947,43,TRUE,,-7.7,FALSE,partially_robust
2,2,2,6,linear,exclude_W52,1.504,1.14,1.983,58.9,TRUE,,-15.4,TRUE,robust
4,2,2,6,linear,exclude_W52,1.74,1.271,2.381,56.54,TRUE,,-2.1,TRUE,robust
6,2,2,6,linear,exclude_W52,1.971,1.418,2.741,53.23,TRUE,,10.9,TRUE,robust
2,3,2,6,linear,exclude_W52,1.432,1.061,1.932,59.06,TRUE,,-19.5,TRUE,robust
4,3,2,6,linear,exclude_W52,1.704,1.207,2.407,56.93,TRUE,,-4.1,TRUE,robust
6,3,2,6,linear,exclude_W52,1.954,1.344,2.84,53.87,TRUE,,9.9,TRUE,robust
2,2,3,6,linear,exclude_W52,1.478,1.117,1.956,59.38,TRUE,,-16.9,TRUE,robust
4,2,3,6,linear,exclude_W52,1.732,1.262,2.377,57.2,TRUE,,-2.6,TRUE,robust
6,2,3,6,linear,exclude_W52,1.959,1.404,2.735,53.98,TRUE,,10.2,TRUE,robust
2,3,3,6,linear,exclude_W52,1.409,1.039,1.91,60.01,TRUE,,-20.8,TRUE,robust
4,3,3,6,linear,exclude_W52,1.701,1.196,2.418,57.97,TRUE,,-4.3,TRUE,robust
6,3,3,6,linear,exclude_W52,1.905,1.298,2.796,54.92,TRUE,,7.2,TRUE,robust
2,2,2,8,linear,exclude_W52,1.405,1.013,1.949,58.04,TRUE,,-21,TRUE,robust
4,2,2,8,linear,exclude_W52,1.608,1.074,2.408,56.06,TRUE,,-9.5,TRUE,robust
6,2,2,8,linear,exclude_W52,1.735,1.071,2.809,52.13,TRUE,,-2.4,TRUE,robust
2,3,2,8,linear,exclude_W52,1.347,0.951,1.907,58.3,TRUE,,-24.3,FALSE,partially_robust
4,3,2,8,linear,exclude_W52,1.574,1.025,2.417,56.5,TRUE,,-11.5,TRUE,robust
6,3,2,8,linear,exclude_W52,1.75,1.053,2.909,52.88,TRUE,,-1.6,TRUE,robust
2,2,3,8,linear,exclude_W52,1.385,0.995,1.927,58.53,TRUE,,-22.1,FALSE,partially_robust
4,2,3,8,linear,exclude_W52,1.578,1.047,2.379,56.64,TRUE,,-11.3,TRUE,robust
6,2,3,8,linear,exclude_W52,1.686,1.026,2.772,52.8,TRUE,,-5.2,TRUE,robust
2,3,3,8,linear,exclude_W52,1.329,0.934,1.892,59.27,TRUE,,-25.2,FALSE,partially_robust
4,3,3,8,linear,exclude_W52,1.549,0.998,2.404,57.46,TRUE,,-12.9,FALSE,partially_robust
6,3,3,8,linear,exclude_W52,1.681,0.993,2.846,53.89,TRUE,,-5.5,FALSE,partially_robust
2,2,2,10,linear,exclude_W52,1.283,0.953,1.727,46.39,TRUE,,-27.8,FALSE,partially_robust
4,2,2,10,linear,exclude_W52,1.417,0.986,2.036,46.23,TRUE,,-20.3,FALSE,partially_robust
6,2,2,10,linear,exclude_W52,1.408,0.901,2.201,45.74,TRUE,,-20.8,FALSE,partially_robust
2,3,2,10,linear,exclude_W52,1.354,0.993,1.847,46.5,TRUE,,-23.8,FALSE,partially_robust
4,3,2,10,linear,exclude_W52,1.591,1.094,2.312,44.97,TRUE,,-10.5,TRUE,robust
6,3,2,10,linear,exclude_W52,1.646,1.042,2.601,44.33,TRUE,,-7.4,TRUE,robust
2,2,3,10,linear,exclude_W52,1.266,0.938,1.71,46.81,TRUE,,-28.8,FALSE,partially_robust
4,2,3,10,linear,exclude_W52,1.377,0.953,1.99,46.42,TRUE,,-22.5,FALSE,partially_robust
6,2,3,10,linear,exclude_W52,1.315,0.827,2.092,45.95,TRUE,,-26,FALSE,partially_robust
2,3,3,10,linear,exclude_W52,1.336,0.976,1.83,47.25,TRUE,,-24.8,FALSE,partially_robust
4,3,3,10,linear,exclude_W52,1.567,1.07,2.294,45.26,TRUE,,-11.9,TRUE,robust
6,3,3,10,linear,exclude_W52,1.535,0.953,2.471,44.87,TRUE,,-13.7,FALSE,partially_robust
